model,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,precision,recall,F1-score,TP,FP,FN,average IOU,mAP
yolov3-tiny-30obj-labelfixed_75000,46.79,17.31,20.79,24.52,14.73,10.59,8.01,28.05,18.15,33.7,46.34,28.64,61.82,53.78,48.23,45.59,33.97,3.62,32.53,37.1,6.72,29.6,42.45,9.85,1.34,0.42,0.0,0.45,0.89,0.0,,,,,,,,,,,,,,,,,,,,,0.71,0.23,0.35,41402.0,16656.0,137614.0,51.78,23.5331
yolov2-tiny-50obj_100000,31.89,20.06,57.97,42.62,10.27,17.42,5.71,7.74,17.43,12.3,16.86,18.02,10.67,9.42,3.81,22.85,13.31,31.46,15.78,39.05,21.38,54.14,47.17,43.28,14.39,5.39,29.88,12.74,36.95,27.37,10.65,25.22,29.32,1.47,28.63,17.2,11.13,35.01,0.08,4.25,9.93,12.69,22.48,14.06,15.15,10.71,16.67,27.16,24.35,21.07,0.24,0.31,0.27,67515.0,208969.0,150211.0,16.47,20.691699999999997
yolov3-tiny-30obj_85000,48.82,19.9,23.85,25.77,14.58,6.81,9.87,29.93,20.01,37.88,47.32,25.92,61.94,56.08,50.96,49.91,34.73,7.08,36.27,34.31,11.99,9.89,10.1,1.94,0.06,0.05,0.0,0.08,0.47,0.0,,,,,,,,,,,,,,,,,,,,,0.7,0.2,0.32,36440.0,15716.0,142576.0,51.58,22.5502
yolov3-tiny-30obj_60000,46.77,18.24,20.88,24.85,13.31,8.41,9.62,25.87,17.64,31.65,39.6,20.71,59.69,50.77,45.56,45.71,30.8,3.42,31.28,30.8,6.72,9.09,5.33,1.19,0.02,0.01,0.0,0.04,0.36,0.0,,,,,,,,,,,,,,,,,,,,,0.7,0.2,0.31,35351.0,15089.0,143665.0,50.63,19.9451
yolov3-tiny-30obj-labelfixed_85000,47.34,19.6,24.45,25.23,14.55,11.1,5.25,30.26,19.77,37.56,45.68,27.57,63.22,55.59,51.18,46.68,33.04,3.39,34.18,38.02,6.29,31.18,40.94,10.63,0.82,0.49,0.0,0.33,0.84,0.0,,,,,,,,,,,,,,,,,,,,,0.77,0.21,0.33,37150.0,11021.0,141866.0,57.24,24.1727
yolov3-tiny-30obj_50000,45.41,18.01,22.82,24.65,12.58,3.65,3.59,26.97,18.51,32.84,39.32,20.33,58.19,52.82,44.02,42.24,32.04,3.65,30.7,30.67,6.06,7.29,6.28,0.24,0.02,0.02,0.0,0.04,0.39,0.0,,,,,,,,,,,,,,,,,,,,,0.63,0.2,0.31,36400.0,21005.0,142616.0,45.55,19.4451
yolov3-30obj_final,65.28,39.66,44.68,45.56,24.21,19.0,16.72,41.46,33.8,50.74,60.55,41.52,68.98,65.33,66.12,59.7,45.83,1.3,35.83,57.83,11.36,11.33,24.61,9.46,0.18,0.89,0.0,0.52,1.36,0.0,,,,,,,,,,,,,,,,,,,,,0.6,0.43,0.5,77479.0,51267.0,101537.0,46.01,31.4594
yolov3-tiny-30obj-labelfixed_90000,46.61,19.91,24.16,26.1,14.82,11.19,10.19,28.52,19.86,35.86,45.5,28.48,63.61,55.79,49.71,49.73,36.07,5.8,34.11,35.96,6.2,31.25,37.31,10.61,0.44,0.31,0.0,0.12,1.02,0.0,,,,,,,,,,,,,,,,,,,,,0.77,0.19,0.3,33841.0,10148.0,145175.0,57.27,24.3082
yolov3-tiny-30obj_55000,46.02,17.01,20.45,24.06,13.43,10.01,6.5,25.82,14.65,33.16,39.68,27.49,54.97,51.15,46.37,46.38,29.88,4.05,28.52,33.02,5.12,9.68,5.7,9.29,0.04,0.06,0.0,0.09,0.52,0.0,,,,,,,,,,,,,,,,,,,,,0.7,0.19,0.29,33207.0,14308.0,145809.0,49.05,20.1051
yolov3-50obj_102500,58.05,34.27,71.51,60.16,22.18,37.4,16.33,41.8,22.95,36.19,42.76,43.13,25.87,16.38,16.57,36.23,26.5,25.04,32.19,28.22,18.68,67.83,60.63,54.0,50.09,28.89,49.54,33.43,59.69,43.79,10.32,41.69,51.4,8.12,62.89,42.6,25.69,44.32,1.82,14.57,19.91,23.97,26.66,8.93,12.96,17.65,23.57,15.82,21.71,25.99,0.59,0.36,0.45,78962.0,54945.0,138764.0,44.06,33.218399999999995
